invoice_number,vendor,invoice_date,total_amount,currency,total_amount_usd,source_file,flag_failed,flag_line_total_mismatch,line_items
INV-24990,Massive Dynamic,2026-06-01,13082.48,GBP,16614.7496,1.pdf,False,True,"[{'description': 'Data Subscription', 'amount': 5716.8}, {'description': 'Consulting Hours', 'amount': 6396.61}]"
INV. Account for remittance AC8201459,Aperture Labs,2025-08-04,19837.02,INR,238.04424,10.pdf,False,True,"[{'description': 'Onsite training', 'amount': 4115.88}, {'description': 'Freight and shipping', 'amount': 7863.9}, {'description': 'License renewal', 'amount': 153.91}, {'description': 'Spare parts', 'amount': 4397.16}]"
INV. Account for remittance AC4558979,Bluth Company,2025-11-26,20506.61,INR,246.07932000000002,100.pdf,False,True,"[{'description': 'cloud hosting', 'amount': 5300.37}, {'description': 'on-site training', 'amount': 5770.82}, {'description': 'consulting hours', 'amount': 6307.29}]"
INV. Account for remittance AC7754112,Oscorp Industries,2025-04-10,7454.07,USD,7454.07,101.pdf,False,,"[{'description': 'Spare parts', 'amount': 317.25}, {'description': 'System installation', 'amount': 918.9}, {'description': 'Annual software license', 'amount': 5846.64}, {'description': 'Quarterly maintenance', 'amount': 371.28}]"
INV-77326,Gekko And Co,2026-05-13,9587.46,EUR,10354.4568,102.pdf,False,True,"[{'description': 'Spare parts', 'amount': 21752.0}, {'description': 'License renewal', 'amount': 35014.0}, {'description': 'Onsite training', 'amount': 5725.7}, {'description': 'Spare parts', 'amount': 7560.0}, {'description': 'Design work', 'amount': 55064.0}]"
INV-59549,Gekko And Co,2025-03-18,19801.97,INR,237.62364000000002,103.pdf,False,True,"[{'description': 'Freight and shipping', 'amount': 7204.89}, {'description': 'Data subscription', 'amount': 775.65}, {'description': 'Onsite training', 'amount': 6074.1}, {'description': 'Cloud hosting', 'amount': 1371.26}, {'description': 'Security audit', 'amount': 3433.12}]"
INV-18152,Umbrella Corporation Inc,2026-11-25,2.0,GBP,2.54,104.pdf,False,True,"[{'description': 'Onsite training', 'amount': 2586.12}, {'description': 'Freight and shipping', 'amount': 1550.25}, {'description': 'Cloud hosting', 'amount': 264.37}, {'description': 'Spare parts', 'amount': 493.08}, {'description': 'Data subscription', 'amount': 548.8}]"
INV-38586,Umbrella Corporation Inc,03.10.2025,10439.35,GBP,13257.9745,105.pdf,False,,"[{'description': 'Server Hardware', 'amount': 1099.36}, {'description': 'Cloud Hosting', 'amount': 1254.33}, {'description': 'Quarterly Maintenance', 'amount': 8085.66}]"
INV-58734,Acme Corp,2026-03-06,877.19,EUR,947.3652000000001,106.pdf,False,True,"[{'description': 'Onsite training', 'amount': 357.77}, {'description': 'License renewal', 'amount': 416.95}]"
INV. 67691,Oscorp Industries,24.07.2026,18.44716,EUR,19.9229328,107.pdf,False,True,"[{'description': 'Quarterly maintenance', 'amount': 5.06124}, {'description': 'Freight and shipping', 'amount': 3.52156}, {'description': 'System installation', 'amount': 1.33028}, {'description': 'Premium support plan', 'amount': 7.65564}]"
,Invoice,,0.0,,0.0,108.pdf,True,,[]
INV-8588,Acme Corp,2025-09-16,16776.91,GBP,21306.6757,109.pdf,False,True,"[{'description': 'Onsite training', 'amount': 4024.8}, {'description': 'Data subscription', 'amount': 4728.48}, {'description': 'Premium support plan', 'amount': 1901.76}, {'description': 'Onsite training', 'amount': 4867.56}]"
INV-26830,Black Mesa Supplies,11.03.2025,6923.62,USD,6923.62,11.pdf,False,,"[{'description': 'Cloud Hosting', 'amount': 988.12}, {'description': 'License Renewal', 'amount': 3553.08}, {'description': 'Data Subscription', 'amount': 1536.08}, {'description': 'Annual Software License', 'amount': 846.34}]"
INV. 65114/INV.,Gekko And Co,2025-09-03,14638.53,GBP,18590.933100000002,110.pdf,False,,"[{'description': 'Cloud Hosting', 'amount': 611.0}, {'description': 'Freight and Shipping', 'amount': 3731.92}, {'description': 'Onsite Training', 'amount': 3801.21}, {'description': 'Server Hardware', 'amount': 6494.4}]"
INV.18616/INV.,Cyberdyne Systems,2026-02-11,20563.52,USD,20563.52,111.pdf,False,True,"[{'description': 'Consulting Hours', 'amount': 8577.8}, {'description': 'Onsite Training', 'amount': 6773.52}, {'description': 'System Installation', 'amount': 2388.8}, {'description': 'Security Audit', 'amount': 4973.4}]"
INV-71659,Vandelay Industries,2025-06-06,16081.32,INR,192.97584,113.pdf,False,True,"[{'description': 'System Installation', 'amount': 8884.5}, {'description': 'Data Subscription', 'amount': 1387.76}, {'description': 'Spare Parts', 'amount': 1101.16}, {'description': 'Quarterly Maintenance', 'amount': 1718.78}, {'description': 'Data Subscription', 'amount': 536.04}]"
INV-20207,Gekko And Co,"Jan 27, 2025",1.0,GBP,1.27,114.pdf,False,True,"[{'description': 'Quarterly maintenance', 'amount': 1468.89}, {'description': 'Spare parts', 'amount': 980.28}, {'description': 'Design work', 'amount': 5226.62}]"
,Tyrell Corp,,0.0,VAT,0.0,115.pdf,True,,[]
INV-56088,Oscorp Industries,2026-01-23,4966.05,USD,4966.05,117.pdf,False,True,"[{'description': 'Consulting Hours', 'amount': 371.21}, {'description': 'Onsite Training', 'amount': 4569.84}]"
INV. 64405,Gekko And Co,2026-02-08,19388.92,GBP,24623.928399999997,118.pdf,False,True,"[{'description': 'Data Subscription', 'amount': 985.95}, {'description': 'Freight and Shipping', 'amount': 630.88}, {'description': 'Onsite Training', 'amount': 4536.6}, {'description': 'Spare Parts', 'amount': 4056.24}]"
INV-45965,Gekko And Co,2026-10-09,5680.55,GBP,7214.298500000001,119.pdf,False,,"[{'description': 'Quarterly maintenance', 'amount': 1486.73}, {'description': 'Security audit', 'amount': 4193.82}]"
INV/15930,Cyberdyne Systems,2025-10-25,10796.66,GBP,13711.7582,12.pdf,False,True,"[{'description': 'Server Hardware', 'amount': 5027.9}, {'description': 'Server Hardware', 'amount': 2978.4}, {'description': 'Design Work', 'amount': 5470.92}]"
INV-94592,Wayne Enterprises Ltd,10.11.2025,11729.31,INR,140.75172,120.pdf,False,True,"[{'description': 'Freight and Shipping', 'amount': 3561.75}, {'description': 'Quarterly Maintenance', 'amount': 5171.65}, {'description': 'System Installation', 'amount': 1203.66}, {'description': 'Consulting Hours', 'amount': 1209.9}]"
INV-83371,Wonka Industries,2026-03-19,19926.02,EUR,21520.1016,121.pdf,False,True,"[{'description': 'Quarterly maintenance', 'amount': 9033.0}, {'description': 'System installation', 'amount': 537.17}, {'description': 'Cloud hosting', 'amount': 3717.1}, {'description': 'Design work', 'amount': 3820.59}, {'description': 'Freight and shipping', 'amount': 1869.3}]"
INV-81949,Umbrella Corporation Inc,12.01.2025,5853.28,GBP,7433.665599999999,122.pdf,False,,"[{'description': 'Security Audit', 'amount': 3596.22}, {'description': 'Consulting Hours', 'amount': 1901.92}, {'description': 'Quarterly Maintenance', 'amount': 191.04}, {'description': 'Design Work', 'amount': 164.1}]"
68024-INV,Aperture Labs,2026-11-13,15775.33,USD,15775.33,123.pdf,False,True,"[{'description': 'Quarterly maintenance', 'amount': 7683.3}, {'description': 'Cloud hosting', 'amount': 1450.34}, {'description': 'Freight and shipping', 'amount': 4012.47}]"
INV. 96247,Acme Corp,09.02.2026,10788.24,INR,129.45888,125.pdf,False,True,"[{'description': 'Security Audit', 'amount': 339.44}, {'description': 'Cloud Hosting', 'amount': 5786.99}, {'description': 'Consulting Hours', 'amount': 4649.31}]"
INV/50667,Nakatomi Trading,11.07.2025,9107.36,INR,109.28832000000001,126.pdf,False,True,"[{'description': 'Quarterly maintenance', 'amount': 2213.07}, {'description': 'Server hardware', 'amount': 5494.44}]"
2026/INV/43189,Bluth Company,2025-05-05,5.43085,EUR,5.865318000000001,129.pdf,False,True,"[{'description': 'Design work', 'amount': 4.96784}, {'description': 'Freight and shipping', 'amount': 166.3}]"
